id,name,album_group,album_type,release_date,popularity
1286,Yoga Healing,NULL,album,2011-04-25 00:00:00.0000000,0
1287,Best Puzzy of the Year 2019,NULL,album,2019-12-11 00:00:00.0000000,0
1288,Wounded Surfer Boy,NULL,album,2011-02-25 00:00:00.0000000,0
1289,"Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, ""L'amour est un oiseau rebelle"" (Carmen, Chorus)",NULL,album,2000-01-01 00:00:00.0000000,0
129,What's Going On,NULL,album,2010-09-20 00:00:00.0000000,0
1290,Livin' Without You - Remastered 2003,NULL,album,2002-12-26 00:00:00.0000000,0
1291,Oyeme,NULL,album,2013-10-25 00:00:00.0000000,0
1292,What I've Got in Mind,NULL,compilation,2008-01-01 00:00:00.0000000,0
1293,Point Of Know Return,NULL,album,2009-10-16 00:00:00.0000000,0
1294,Home,NULL,album,2017-08-18 00:00:00.0000000,0
1295,"Red, White, And Blue Collar",NULL,album,2013-12-09 00:00:00.0000000,0
1296,In Love Again,NULL,album,2015-12-17 00:00:00.0000000,0
1297,Baby I Like Your Style,NULL,album,2017-07-25 00:00:00.0000000,0
1298,Two Sides to Every Story,NULL,album,2012-03-12 00:00:00.0000000,4
1299,A Little At A Time,NULL,album,2006-09-12 00:00:00.0000000,0
13,Stompin' at the Savoy - 2004 Remaster,NULL,album,1959-01-01 00:00:00.0000000,0
